Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Version,Style,Label Themes,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID,tipo
acorn pochette,Brown,Yes,NFS,2400,Brown,Green,1x1,,Crafting,,All Year,1.0.0,Cute,fairy tale,No,Not for sale,BagShoulderAcorn0,7492,XiC7bNzTBAdb8zWwr,BAGS
basket pack,Green,Yes,NFS,2400,Green,Green,1x1,,Crafting,,All Year,1.0.0,Simple,outdoorsy; work,No,Not for sale,BagBackpackBasket0,7506,BW764rj9aH3QL6GRH,BAGS
bug cage,Green,No,NFS,122,Green,White,1x1,,Bug-Off,,All Year,1.0.0,Active,outdoorsy; vacation,No,Not for sale,BagShoulderCage0,7479,nrkEKkL46YsQYcYjp,BAGS
Bunny Day bag,,Yes,NFS,2400,Colorful,Colorful,1x1,,Crafting,,All Year,1.1.0a,Active,fairy tale; party; theatrical,No,Not for sale,BagBackpackEgg0,12447,YGofzAZknSTYWmfWM,BAGS
butterfly backpack,Pink,No,NFS,210,Pink,Yellow,1x1,,Bug-Off,,All Year,1.0.0,Cute,everyday; formal; party,No,Not for sale,BagBackpackButterfly0,7502,unsmeHZemRaTnq62z,BAGS
canvas backpack,White,No,1300,325,White,Orange,1x1,,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagBackpackTote0,7509,ZtgYddBwpZfGMjewu,BAGS
cherry-blossom pochette,Pink,Yes,NFS,2400,Pink,Pink,1x1,,Crafting,,All Year,1.0.0,Cute,fairy tale,No,Not for sale,BagShoulderCherryblossoms0,7490,wwkZdhj9HzxZiqHys,BAGS
cloth shoulder bag,Blue,No,1400,350,Light blue,Light blue,1x1,,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagShoulderCanvas0,7487,DzoRrArWrKtzn6Xzc,BAGS
cloth shoulder bag,Orange,No,1400,350,Orange,Orange,1x1,,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagShoulderCanvas1,12013,dcpCgBwji4QCYAy8k,BAGS
cloth shoulder bag,Ivory,No,1400,350,White,White,1x1,,Kicks,,All Year,1.0.0,Simple,everyday,No,For sale,BagShoulderCanvas2,12014,NfkYKg5NoaWKBEpzN,BAGS
crossbody bag,Pink,No,700,175,Pink,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody0,7483,zXtyCFHwWjnChTami,BAGS
crossbody bag,Green,No,700,175,Green,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody1,11980,tbfNwy8RmGztJdAnn,BAGS
crossbody bag,Yellow,No,700,175,Yellow,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody2,11981,zX6ZX4puTojGuJgGj,BAGS
crossbody bag,White,No,700,175,White,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackBody3,11982,FsyHb5QAf8DDvPC7y,BAGS
crossbody boston bag,Red,No,1680,420,Red,Black,1x1,,Kicks,,All Year,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,BagShoulderDrum0,7485,8MwDxuHHvYM3XJpmy,BAGS
crossbody boston bag,Blue,No,1680,420,Blue,Black,1x1,,Kicks,,All Year,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,BagShoulderDrum1,12011,w98ZrTQWiRMHyveaa,BAGS
DAL backpack,Blue,No,NFS,1010,Blue,Black,1x1,,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,All Year,1.0.0,Cool,outdoorsy; vacation,No,Not for sale,BagBackpackDal0,12131,3mGmqSPj5YPujiDgD,BAGS
dry bag,Yellow,No,1040,260,Yellow,Black,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackDry0,7471,iwTpuxykXjSBi8b9a,BAGS
dry bag,Blue,No,1040,260,Blue,Black,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackDry1,11964,cMoNDoZx2sdfD6Haz,BAGS
evening bag,Pink,No,1250,312,Pink,Yellow,1x1,,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderParty0,7305,tZhGqzKpEeEweTZi7,BAGS
evening bag,Blue,No,1250,312,Blue,Yellow,1x1,,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderParty1,11976,SoJkNi7GNiW28tYuG,BAGS
evening bag,Black,No,1250,312,Black,Yellow,1x1,,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderParty2,11977,x9Z63uLS8cHdsoczj,BAGS
extra-large backpack,Red,No,2100,525,Red,Red,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain0,7505,sjT2tZJCMpWQNmhTy,BAGS
extra-large backpack,Green,No,2100,525,Green,Green,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain1,11971,MKeBKrETSTs4tyrg4,BAGS
extra-large backpack,Black,No,2100,525,Black,Black,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain2,11972,HqReXLwGPigWMiJbS,BAGS
extra-large backpack,Blue,No,2100,525,Blue,Blue,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackMountain3,11973,vvEqA5aMBGyycpQFz,BAGS
faux-fur bag,Pink,No,1400,350,Pink,Yellow,1x1,,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderFakefur0,7480,FyneYzGmHW7SyoHn7,BAGS
faux-fur bag,Purple,No,1400,350,Purple,Yellow,1x1,,Kicks,,All Year,1.0.0,Cute,formal; party,No,For sale,BagShoulderFakefur1,12003,gH3fn5rkmCrekWoJB,BAGS
fish pochette,Blue,No,NFS,210,Light blue,Blue,1x1,,Fishing Tourney,,All Year,1.0.0,Cute,formal; party,No,Not for sale,BagShoulderFish0,7477,CrFcdF3rXiaiiajEB,BAGS
foldover-top backpack,Green,No,1300,325,Green,Beige,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackLid0,7507,nkXJ2eRThdt4vEpFb,BAGS
foldover-top backpack,Blue,No,1300,325,Blue,Light blue,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackLid1,12016,M8i2DNwxgXKWADAtW,BAGS
foldover-top backpack,Gray,No,1300,325,Gray,White,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackLid2,12017,Z8WFCNZodHtW2DBPB,BAGS
foldover-top backpack,Pink,No,1300,325,Pink,Purple,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackLid3,12018,nD9TYBr8sw4rhLAyG,BAGS
gumdrop shoulder bag,Pop,No,2000,500,Pink,Green,1x1,,Kicks,,All Year,1.0.0,Simple,everyday; comfy,No,For sale,BagShoulderPattern0,7486,mQZCwxcr6z3hq5Dgm,BAGS
gumdrop shoulder bag,Cool,No,2000,500,Purple,Light blue,1x1,,Kicks,,All Year,1.0.0,Simple,everyday; comfy,No,For sale,BagShoulderPattern1,12012,JxHQbqWH73Q3GYKT8,BAGS
hand-knit pouch,Green,No,1250,312,Green,Green,1x1,,Kicks,,All Year,1.0.0,Elegant,vacation,No,For sale,BagShoulderRace0,7482,taTKqY3xif2LhShrf,BAGS
hand-knit pouch,Purple,No,1250,312,Purple,Purple,1x1,,Kicks,,All Year,1.0.0,Elegant,vacation,No,For sale,BagShoulderRace1,12004,GLLrMeJCPd8Xn7fdr,BAGS
hard-shell backpack,Blue,No,1680,420,Blue,Black,1x1,,Kicks,,All Year,1.0.0,Cool,outdoorsy; work,No,For sale,BagBackpackHardshell0,7512,LETQjE3yFDKze4ntv,BAGS
hard-shell backpack,Red,No,1680,420,Red,Black,1x1,,Kicks,,All Year,1.0.0,Cool,outdoorsy; work,No,For sale,BagBackpackHardshell1,10184,qdP3rmZ7P7HgA2cin,BAGS
hard-shell backpack,Silver,No,1680,420,Gray,Black,1x1,,Kicks,,All Year,1.0.0,Cool,outdoorsy; work,No,For sale,BagBackpackHardshell2,11946,yxnDx8JQqzZDM66oR,BAGS
knapsack,Blue,No,630,157,Blue,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackKnapsack0,7508,XbKqQChpAJXng37Mr,BAGS
knapsack,Black,No,630,157,Black,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackKnapsack1,12019,Fx4M2zpFTWGww54rw,BAGS
knitted-grass backpack,Green,Yes,NFS,400,Green,Brown,1x1,,Crafting,,All Year,1.0.0,Elegant,outdoorsy; comfy; vacation,No,Not for sale,BagBackpackGrass0,7511,xM5iaYn4gbZoR94Qm,BAGS
log pack,Brown,Yes,NFS,960,Brown,Beige,1x1,,Crafting,,All Year,1.0.0,Simple,fairy tale; outdoorsy,No,Not for sale,BagBackpackWood0,7498,rDDM48hSfsSbcp92u,BAGS
maple-leaf pochette,Red,Yes,NFS,2400,Orange,Orange,1x1,,Crafting,,All Year,1.0.0,Simple,fairy tale,No,Not for sale,BagShoulderMaple0,7491,HJDH4dCPMQY9qQanL,BAGS
messenger bag,Green,No,840,210,Green,Black,1x1,,Kicks,,All Year,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,BagShoulderMessenger0,7470,7mPZ9PnTd46r65DXx,BAGS
messenger bag,Orange,No,840,210,Orange,Black,1x1,,Kicks,,All Year,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,BagShoulderMessenger1,11978,sgxnCe87EdtdoKved,BAGS
messenger bag,Black,No,840,210,Black,Black,1x1,,Kicks,,All Year,1.0.0,Simple,everyday; outdoorsy; sporty,No,For sale,BagShoulderMessenger2,11979,ZuwiM4DzJF5Rsg46x,BAGS
mini pleather bag,White,No,1600,400,White,White,1x1,,Kicks,,All Year,1.0.0,Elegant,everyday; formal; party,No,For sale,BagBackpackSmall0,7504,FyrYDDhzABDegtZ6n,BAGS
mini pleather bag,Black,No,1600,400,Black,Black,1x1,,Kicks,,All Year,1.0.0,Elegant,everyday; formal; party,No,For sale,BagBackpackSmall1,12015,hYJk97FFi4zJGQ5cH,BAGS
Mom's knapsack,M,No,NFS,175,Yellow,Beige,1x1,,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt0,7510,szhWnj6jpymTsKce8,BAGS
Mom's knapsack,Flowers,No,NFS,175,Gray,Beige,1x1,,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt1,12148,gqy4s4zFowLbNKTd2,BAGS
Mom's knapsack,Polka dots,No,NFS,175,Pink,Beige,1x1,,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt2,12149,Hkju8Bjb8Kaamsu3j,BAGS
Mom's knapsack,Colorful quilt design,No,NFS,175,Colorful,Beige,1x1,,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt3,12150,6uKkNZRz7E8gkSiBF,BAGS
Mom's knapsack,Cherries,No,NFS,175,Light blue,Beige,1x1,,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt4,12151,46PX3NMjAdrNiRQXb,BAGS
Mom's knapsack,Denim with stripes,No,NFS,175,Blue,Beige,1x1,,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt5,12152,hj8ixCKXNWBnGZSrw,BAGS
Mom's knapsack,Forest print,No,NFS,175,White,Beige,1x1,,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt6,12153,E3XrB5LbBTu795xbM,BAGS
Mom's knapsack,Chick,No,NFS,175,Orange,Beige,1x1,,Mom,,All Year,1.0.0,Cute,comfy,No,Not for sale,BagBackpackQuilt7,12154,jCi92aiMtZB92idfQ,BAGS
Nook Inc. knapsack,Brown,No,NFS,4000,Brown,Yellow,1x1,800.0,Nook Miles Shop,,All Year,1.0.0,Gorgeous,everyday,No,Not for sale,BagBackpackNook0,9761,zQh6chGG66h4f5JbX,BAGS
outdoor backpack,Avocado,No,1560,390,Green,Black,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackOutdoor0,7501,CAsQFPPeo3vBGpHSo,BAGS
outdoor backpack,Orange,No,1560,390,Orange,Black,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackOutdoor1,11969,hiF7bqmoudyFJPcWG,BAGS
outdoor backpack,Navy blue,No,1560,390,Blue,Black,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagBackpackOutdoor2,11970,qd8DJb8mX5zhewgyn,BAGS
pleather crossbody bag,Navy blue,No,1120,280,Blue,Brown,1x1,,Kicks,,All Year,1.0.0,Cool,everyday; work,No,For sale,BagBackpackBodybag0,7484,YQD8XMuvDbymAeKxt,BAGS
pleather crossbody bag,Black,No,1120,280,Black,White,1x1,,Kicks,,All Year,1.0.0,Cool,everyday; work,No,For sale,BagBackpackBodybag1,12005,QDPYGrpFNNir49uBe,BAGS
pleather fringe bag,Camel,No,2400,600,Brown,Brown,1x1,,Kicks,,All Year,1.0.0,Elegant,everyday; formal; party,No,For sale,BagShoulderFringe0,7481,7RYHreaA7o9huubNu,BAGS
pleather fringe bag,White,No,2400,600,White,White,1x1,,Kicks,,All Year,1.0.0,Elegant,everyday; formal; party,No,For sale,BagShoulderFringe1,12010,fiM98m9CGgi6iATkQ,BAGS
pleather shoulder bag,Brown,No,2400,600,Brown,Brown,1x1,,Kicks,,All Year,1.0.0,Elegant,everyday; formal,No,For sale,BagShoulderLeather0,7476,9AqRYq83NRMxrEWiD,BAGS
pleather shoulder bag,Navy blue,No,2400,600,Blue,Blue,1x1,,Kicks,,All Year,1.0.0,Elegant,everyday; formal,No,For sale,BagShoulderLeather1,12009,ZKgcPhGYErHShMrGR,BAGS
retro sports bag,Blue,No,1400,350,White,Blue,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagShoulderSports0,7302,vY7qcZFdWb3HgSv7L,BAGS
retro sports bag,Red,No,1400,350,White,Red,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagShoulderSports1,12007,Lqtjq3rWFoy4Dv39C,BAGS
retro sports bag,Black,No,1400,350,Black,Yellow,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagShoulderSports2,12008,nGhHjk4GEKSQwvARA,BAGS
sacoche bag,Blue,No,980,245,Blue,Green,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagShoulderSacosh0,7304,n82fhWWNSv8kyFJc2,BAGS
sacoche bag,Red,No,980,245,Red,Yellow,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagShoulderSacosh1,11974,LYnLwBnwTYcMp4fr9,BAGS
sacoche bag,Black,No,980,245,Black,White,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; sporty,No,For sale,BagShoulderSacosh2,11975,NRYqQLN2Beq4jpDBJ,BAGS
shellfish pochette,White,Yes,NFS,10800,White,White,1x1,,Crafting,,All Year,1.0.0,Cute,fairy tale; vacation,No,Not for sale,BagShoulderShell0,7494,XEsQxMf7k9qvjYxPF,BAGS
snowflake pochette,White,Yes,NFS,2400,Light blue,White,1x1,,Crafting,,All Year,1.0.0,Elegant,fairy tale; party; vacation,No,Not for sale,BagShoulderSnow0,7493,gW7R4HX8hjZEHAFtB,BAGS
square backpack,Yellow,No,1300,325,Yellow,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackSquare0,7500,2RYepaMxTnXMZ9tXg,BAGS
square backpack,Pink,No,1300,325,Pink,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackSquare1,11967,wN6jaJRRvg6cQZXhk,BAGS
square backpack,Green,No,1300,325,Green,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy; sporty,No,For sale,BagBackpackSquare2,11968,rJain6G9X749mG5p7,BAGS
star pochette,Yellow,Yes,NFS,3000,Yellow,Yellow,1x1,,Crafting,,All Year,1.0.0,Cute,fairy tale; party; vacation,No,Not for sale,BagShoulderStar0,7489,3WQ8vSWtHMjZ6YPtR,BAGS
straw pochette,Brown,No,980,245,Brown,Brown,1x1,,Kicks,,All Year,1.0.0,Simple,comfy; vacation,No,For sale,BagShoulderRattan0,7488,CGs3z4dKEkH82FDyq,BAGS
studded backpack,Black,No,1560,390,Black,Yellow,1x1,,Kicks,,All Year,1.0.0,Cool,everyday; goth,No,For sale,BagBackpackStuds0,7503,mTMCDJnwtFJzvQ9rs,BAGS
studded backpack,White,No,1560,390,White,Gray,1x1,,Kicks,,All Year,1.0.0,Cool,everyday; goth,No,For sale,BagBackpackStuds1,12006,e6iev2NrSfaxSg5nr,BAGS
tackle bag,Blue,No,NFS,175,Blue,Orange,1x1,,Fishing Tourney,,All Year,1.0.0,Active,outdoorsy; sporty; work,No,Not for sale,BagShoulderFishing0,7478,prkWCjgn7gTK4X8QH,BAGS
tool bag,Black,No,910,227,Black,Yellow,1x1,,Kicks,,All Year,1.0.0,Active,outdoorsy; work,No,For sale,BagShoulderTool0,7497,KiXvv8fvv7CN5sFDx,BAGS
town backpack,Green,No,1040,260,Green,Green,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagBackpackTown0,6838,sm5eKnwyeNyKGXQLC,BAGS
town backpack,Orange,No,1040,260,Orange,Orange,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagBackpackTown1,6839,aZasytqebQRikaZZZ,BAGS
town backpack,Blue,No,1040,260,Blue,Blue,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagBackpackTown2,11944,WGhvofsBw6pFs5c93,BAGS
town backpack,Red,No,1040,260,Red,Red,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagBackpackTown3,11945,wkeZwbrp9BoHTEPRZ,BAGS
travel pouch,Pink,No,840,210,Pink,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagShoulderTravel0,2550,ygrWBZtknqDLLH8Rn,BAGS
travel pouch,Green,No,840,210,Green,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagShoulderTravel1,12000,oX3GfBwtMfcQ4STtd,BAGS
travel pouch,Light blue,No,840,210,Light blue,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagShoulderTravel2,12001,SSHDSgfSasCP6AgmW,BAGS
travel pouch,Purple,No,840,210,Purple,Black,1x1,,Kicks,,All Year,1.0.0,Active,everyday; outdoorsy,No,For sale,BagShoulderTravel3,12002,HTjXg6MXwPZCwEtmJ,BAGS
traveler's backpack,Orange,No,2940,735,Orange,Beige,1x1,,Kicks,,All Year,1.0.0,Simple,fairy tale; outdoorsy; work,No,For sale,BagBackpackJourney0,7499,ag2m7kcBg83aCARGE,BAGS
traveler's backpack,Blue,No,2940,735,Blue,Beige,1x1,,Kicks,,All Year,1.0.0,Simple,fairy tale; outdoorsy; work,No,For sale,BagBackpackJourney1,11965,iprTWWTSARJtHTKqF,BAGS
traveler's backpack,Brown,No,2940,735,Brown,Beige,1x1,,Kicks,,All Year,1.0.0,Simple,fairy tale; outdoorsy; work,No,For sale,BagBackpackJourney2,11966,ehhBAiZqTHaTExHYP,BAGS
